id_subsistema;nom_subsistema;id_estado;nom_estado;nom_pontoconexao;nom_localizacao;val_latitudesecoletora;val_longitudesecoletora;val_latitudepontoconexao;val_longitudepontoconexao;nom_modalidadeoperacao;nom_tipousina;nom_usina_conjunto;id_ons;ceg;din_instante;val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 03:00:00;0E-8;2.96000000;105.00000000;0.02819047619047619047
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 04:00:00;0E-8;3.68000000;105.00000000;0.03504761904761904761
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 05:00:00;0E-8;4.72000000;105.00000000;0.04495238095238095238
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 06:00:00;0E-8;4.46000000;105.00000000;0.04247619047619047619
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 07:00:00;0E-8;1.97000000;105.00000000;0.01876190476190476190
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 08:00:00;0E-8;2.34000000;105.00000000;0.02228571428571428571
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 09:00:00;0E-8;3.82000000;105.00000000;0.03638095238095238095
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 10:00:00;0E-8;4.63000000;105.00000000;0.04409523809523809523
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 11:00:00;0E-8;10.57000000;105.00000000;0.10066666666666666666
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 12:00:00;0E-8;7.92000000;105.00000000;0.07542857142857142857
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 13:00:00;0E-8;3.43000000;105.00000000;0.03266666666666666666
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 14:00:00;0E-8;0.99000000;105.00000000;0.00942857142857142857
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 15:00:00;0E-8;0.52000000;105.00000000;0.00495238095238095238
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 16:00:00;0E-8;0.33000000;105.00000000;0.00314285714285714285
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 17:00:00;0E-8;0.03000000;105.00000000;0.00028571428571428571
