id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,Norte,08/08/2000,2565.891667
N,Norte,09/08/2000,2575.645833
N,Norte,10/08/2000,2583.7125
N,Norte,11/08/2000,2576.75
N,Norte,12/08/2000,2504.858333
N,Norte,13/08/2000,2392.15
N,Norte,14/08/2000,2562.720833
N,Norte,15/08/2000,2517.9
N,Norte,16/08/2000,2598.8125
N,Norte,17/08/2000,2602.995833
N,Norte,18/08/2000,2602.116667
N,Norte,19/08/2000,2530.625
N,Norte,20/08/2000,2417.070833
N,Norte,21/08/2000,2603.0875
N,Norte,22/08/2000,2628.2125
N,Norte,23/08/2000,2640.329167
N,Norte,24/08/2000,2659.891667
N,Norte,25/08/2000,2634.1625
N,Norte,26/08/2000,2544.079167
N,Norte,27/08/2000,2437.491667
N,Norte,28/08/2000,2607.491667
N,Norte,29/08/2000,2665.808333
N,Norte,30/08/2000,2663.495833
N,Norte,31/08/2000,2655.670833
N,Norte,01/09/2000,2621.904167
N,Norte,02/09/2000,2515.429167
N,Norte,03/09/2000,2450.432917
N,Norte,04/09/2000,2670.9625
N,Norte,05/09/2000,2663.2
N,Norte,06/09/2000,2637.171667
N,Norte,07/09/2000,2475.845833
N,Norte,08/09/2000,2559.15
N,Norte,09/09/2000,2487.6375
N,Norte,10/09/2000,2417.9375
N,Norte,11/09/2000,2625.9625
N,Norte,12/09/2000,2626.645833
N,Norte,13/09/2000,2643.104167
N,Norte,14/09/2000,2636.879167
N,Norte,15/09/2000,2629.975
N,Norte,16/09/2000,2527.029167
N,Norte,17/09/2000,2433.658333
N,Norte,18/09/2000,2623.541667
N,Norte,19/09/2000,2652.312083
N,Norte,20/09/2000,2589.4825
N,Norte,21/09/2000,2645.632917
N,Norte,22/09/2000,2660.134583
N,Norte,23/09/2000,2556.2625
N,Norte,24/09/2000,2481.3375
N,Norte,25/09/2000,2658.123333
N,Norte,26/09/2000,2659.839167
N,Norte,27/09/2000,2646.526667
N,Norte,28/09/2000,2631.918333
N,Norte,29/09/2000,2629.0075
N,Norte,30/09/2000,2540.366667
N,Norte,01/10/2000,2415.870833
N,Norte,02/10/2000,2591.25
N,Norte,03/10/2000,2627.045833
N,Norte,04/10/2000,2630.566667
N,Norte,05/10/2000,2586.1625
N,Norte,06/10/2000,2608.883333
N,Norte,07/10/2000,2526.56125
N,Norte,08/10/2000,2383.273913
N,Norte,09/10/2000,2571.275
N,Norte,10/10/2000,2591.420417
N,Norte,11/10/2000,2602.207083
N,Norte,12/10/2000,2474.8
N,Norte,13/10/2000,2550.195833
N,Norte,14/10/2000,2523.42875
N,Norte,15/10/2000,2442.0775
N,Norte,16/10/2000,2595.770833
N,Norte,17/10/2000,2636.308333
N,Norte,18/10/2000,2646.633333
N,Norte,19/10/2000,2646.254167
N,Norte,20/10/2000,2646.4375
N,Norte,21/10/2000,2534.7
N,Norte,22/10/2000,2421.429167
N,Norte,23/10/2000,2563.820833
N,Norte,24/10/2000,2629.5
N,Norte,25/10/2000,2635.470833
N,Norte,26/10/2000,2636.370833
N,Norte,27/10/2000,2637.9125
N,Norte,28/10/2000,2516.8625
N,Norte,29/10/2000,2431.5375
N,Norte,30/10/2000,2627.208333
N,Norte,31/10/2000,2593.759583
N,Norte,01/11/2000,2611.154167
N,Norte,02/11/2000,2458.375
N,Norte,03/11/2000,2568.81
N,Norte,04/11/2000,2527.4125
N,Norte,05/11/2000,2424.200417
N,Norte,06/11/2000,2562.8375
N,Norte,07/11/2000,2634.954167
N,Norte,08/11/2000,2628.5375
N,Norte,09/11/2000,2573.779167
N,Norte,10/11/2000,2604.670833
N,Norte,11/11/2000,2526.325
N,Norte,12/11/2000,2418.029167
N,Norte,13/11/2000,2589.1125
N,Norte,14/11/2000,2598.075
N,Norte,15/11/2000,2455.433333
N,Norte,16/11/2000,2598.533333
N,Norte,17/11/2000,2577.020833
N,Norte,18/11/2000,2502.729167
N,Norte,19/11/2000,2450.5875
N,Norte,20/11/2000,2595.420833
N,Norte,21/11/2000,2615.958333
N,Norte,22/11/2000,2620.4625
N,Norte,23/11/2000,2635.8625
N,Norte,24/11/2000,2599.1375
N,Norte,25/11/2000,2524.016667
N,Norte,26/11/2000,2452.895833
N,Norte,27/11/2000,2614.9375
N,Norte,28/11/2000,2631.585
N,Norte,29/11/2000,2637.629167
N,Norte,30/11/2000,2629.491667
N,Norte,01/12/2000,2631.608333
N,Norte,02/12/2000,2546.145833
N,Norte,03/12/2000,2464.829167
N,Norte,04/12/2000,2614.779167
N,Norte,05/12/2000,2606.25
N,Norte,06/12/2000,2625.008333
N,Norte,07/12/2000,2625.366667
N,Norte,08/12/2000,2531.4625
N,Norte,09/12/2000,2507.845833
N,Norte,10/12/2000,2429.395833
N,Norte,11/12/2000,2581.4225
N,Norte,12/12/2000,2611.58125
N,Norte,13/12/2000,2600.1875
N,Norte,14/12/2000,2590.116667
N,Norte,15/12/2000,2490.441667
N,Norte,16/12/2000,2427.591667
N,Norte,17/12/2000,2332.56375
N,Norte,18/12/2000,2500.945833
N,Norte,19/12/2000,2568.566667
N,Norte,20/12/2000,2572.738333
N,Norte,21/12/2000,2573.5125
N,Norte,22/12/2000,2576.47625
N,Norte,23/12/2000,2487.854167
N,Norte,24/12/2000,2460.7625
N,Norte,25/12/2000,2382.795833
N,Norte,26/12/2000,2569.795833
N,Norte,27/12/2000,2630.057083
N,Norte,28/12/2000,2621.629167
N,Norte,29/12/2000,2593.658333
N,Norte,30/12/2000,2531.854167
N,Norte,31/12/2000,2457.320833
N,Norte,01/01/2001,2376.73125
N,Norte,02/01/2001,2537.383333
N,Norte,03/01/2001,2540.345833
N,Norte,04/01/2001,2534.116667
N,Norte,05/01/2001,2575.575
N,Norte,06/01/2001,2495.195
N,Norte,07/01/2001,2410.729167
N,Norte,08/01/2001,2578.533333
N,Norte,09/01/2001,2559.38625
N,Norte,10/01/2001,2543.226667
N,Norte,11/01/2001,2536.835833
N,Norte,12/01/2001,2525.360833
N,Norte,13/01/2001,2487.1375
N,Norte,14/01/2001,2405.558333
N,Norte,15/01/2001,2569.4875
N,Norte,16/01/2001,2576.733333
N,Norte,17/01/2001,2570.333333
N,Norte,18/01/2001,2596.708333
N,Norte,19/01/2001,2599.904167
N,Norte,20/01/2001,2501.741667
N,Norte,21/01/2001,2391.791667
N,Norte,22/01/2001,2533.458333
N,Norte,23/01/2001,2569.766667
N,Norte,24/01/2001,2552.7875
N,Norte,25/01/2001,2557.341667
N,Norte,26/01/2001,2546.379167
N,Norte,27/01/2001,2465.695833
N,Norte,28/01/2001,2381.366667
N,Norte,29/01/2001,2552.865
N,Norte,30/01/2001,2572.733333
N,Norte,31/01/2001,2532.516667
N,Norte,01/02/2001,2494.875
N,Norte,02/02/2001,2543.75
N,Norte,03/02/2001,2434.608333
N,Norte,04/02/2001,2382.054167
N,Norte,05/02/2001,2547.683333
N,Norte,06/02/2001,2587.033333
N,Norte,07/02/2001,2581.045833
N,Norte,08/02/2001,2585.291667
N,Norte,09/02/2001,2588.670833
N,Norte,10/02/2001,2462.241667
N,Norte,11/02/2001,2372.079167
N,Norte,12/02/2001,2561.15
N,Norte,13/02/2001,2581.791667
N,Norte,14/02/2001,2566.35
N,Norte,15/02/2001,2563.495833
N,Norte,16/02/2001,2572.833333
N,Norte,17/02/2001,2510.525
N,Norte,18/02/2001,2364.6375
N,Norte,19/02/2001,2552.295833
N,Norte,20/02/2001,2562.4125
N,Norte,21/02/2001,2564.008333
N,Norte,22/02/2001,2565.079167
N,Norte,23/02/2001,2557.883333
N,Norte,24/02/2001,2473.7
N,Norte,25/02/2001,2363.441667
N,Norte,26/02/2001,2422.779167
N,Norte,27/02/2001,2370.1625
N,Norte,28/02/2001,2499.116667
