MUNICÍPIO - UF,UF,LATITUDE,LONGITUDE
BOM JESUS DO ITABAPOANA - RJ,RJ,-21.13449744,-41.67767979
BOM JESUS DO NORTE - ES,ES,-21.12934179,-41.67581051
BOM PRINCÍPIO - RS,RS,-29.49448511,-51.3555191
BOM PRINCÍPIO DO PIAUÍ - PI,PI,-3.189858688,-41.64520957
BOM SUCESSO DE ITARARÉ - SP,SP,-24.31826284,-49.14376192
BOM SUCESSO DO SUL - PR,PR,-26.07453714,-52.83197627
BONFIM - MG,MG,-17.86610323,-42.31267394
BONFIM - RR,RR,3.350288619,-59.87800663
BONINAL - BA,BA,-12.71512079,-41.82432848
BONITO - BA,BA,-11.9695725,-41.26840279
BONITO - MS,MS,-21.12434128,-56.49285862
BONITO - PE,PE,-8.4722605,-35.72852793
BONITO DE MINAS - MG,MG,-15.32380447,-44.75802844
BORACÉIA - SP,SP,-22.19320565,-48.77921828
BORBA - AM,AM,-4.390619891,-59.59455902
BORDA DA MATA - MG,MG,-22.27240826,-46.16716824
BORÁ - SP,SP,-22.27011711,-50.544881
BOTUCATU - SP,SP,-22.8883815,-48.44128938
BRAGA - RS,RS,-27.61919251,-53.74432938
BRAGANÇA PAULISTA - SP,SP,-22.9568955,-46.54233337
BRASILEIRA - PI,PI,-4.137829108,-41.78925964
BRASNORTE - MT,MT,-12.12493814,-58.00267363
BRASÍLIA - DF,DF,-15.79408736,-47.88790548
BRAÇO DO NORTE - SC,SC,-28.28003887,-49.16454771
BRAÚNAS - MG,MG,-19.05359662,-42.71535264
BREJINHO - RN,RN,-6.192579059,-35.35735405
BREVES - PA,PA,-1.6907365,-50.4808948
BROTAS - SP,SP,-22.28651699,-48.12683332
BROTAS DE MACAÚBAS - BA,BA,-12.00263554,-42.62469129
BRUMADINHO - MG,MG,-20.14417441,-44.20018761
BRUMADO - BA,BA,-14.20543824,-41.6670695
BRUNÓPOLIS - SC,SC,-27.31836215,-50.83592077
BRUSQUE - SC,SC,-27.09831023,-48.91516301
BUENO BRANDÃO - MG,MG,-22.43616701,-46.35338809
BURITAMA - SP,SP,-21.06703957,-50.14928125
BURITINÓPOLIS - GO,GO,-14.45602303,-46.43107711
BURITIS - RO,RO,-10.20980541,-63.82967879
BURITIZAL - SP,SP,-20.19314822,-47.70886004
BURITIZEIRO - MG,MG,-17.35942077,-44.95519368
CAAPIRANGA - AM,AM,-3.330093392,-61.21133413
CAAPORÃ - PB,PB,-7.514287641,-34.91785014
CAARAPÓ - MS,MS,-22.63658222,-54.8269701
CAATIBA - BA,BA,-14.97855064,-40.41027248
CABECEIRA GRANDE - MG,MG,-16.0282748,-47.08498931
CABO DE SANTO AGOSTINHO - PE,PE,-8.28986423,-35.03848897
CABO FRIO - RJ,RJ,-22.88076467,-42.0200748
CABREÚVA - SP,SP,-23.31267439,-47.13365837
CACHOEIRA - BA,BA,-12.5962108,-38.96939807
CACHOEIRA ALTA - GO,GO,-18.75100446,-50.94470784
CACHOEIRA DA PRATA - MG,MG,-19.52643533,-44.44105095
CACHOEIRA DO SUL - RS,RS,-30.04581998,-52.89341256
CACHOEIRA DOURADA - GO,GO,-18.48903561,-49.47091766
CACHOEIRINHA - RS,RS,-29.95062944,-51.09367695
CACHOEIRO DE ITAPEMIRIM - ES,ES,-20.85011235,-41.11191881
CACONDE - SP,SP,-21.52873804,-46.64683488
CAETITÉ - BA,BA,-14.06675432,-42.48571145
CAETÉS - PE,PE,-8.775594845,-36.62480401
CAFARNAUM - BA,BA,-11.69135622,-41.47222151
CAIEIRAS - SP,SP,-23.36211605,-46.74410142
CAIÇARA DO NORTE - RN,RN,-5.062994409,-36.05585715
CAIÇARA DO RIO DO VENTO - RN,RN,-5.759087143,-35.99979041
CAJAMAR - SP,SP,-23.36097138,-46.88292015
CAJATI - SP,SP,-24.72636097,-48.10499981
CAJAZEIRAS - PB,PB,-6.8904645,-38.56053037
CAJUEIRO - AL,AL,-9.389660575,-36.15637859
CAJURU - SP,SP,-21.2747175,-47.30426612
CALDAS - MG,MG,-21.92333596,-46.38778911
CALDAS NOVAS - GO,GO,-17.74353887,-48.62119747
CALDEIRÃO GRANDE DO PIAUÍ - PI,PI,-7.331559652,-40.63741891
CAMACHO - MG,MG,-20.62691585,-45.15879267
CAMANDUCAIA - MG,MG,-22.75674636,-46.14686329
CAMAPUÃ - MS,MS,-19.5352598,-54.04330949
CAMAQUÃ - RS,RS,-30.85070439,-51.81460091
CAMARAGIBE - PE,PE,-8.020521767,-34.99572136
CAMARGO - RS,RS,-28.58923753,-52.20379897
CAMAÇARI - BA,BA,-12.69881676,-38.32574006
CAMBARÁ - PR,PR,-23.04126648,-50.07757072
CAMBARÁ DO SUL - RS,RS,-29.04817527,-50.14376538
CAMBORIÚ - SC,SC,-27.0264565,-48.64999585
CAMBUÍ - MG,MG,-22.61109716,-46.05801936
CAMBÉ - PR,PR,-23.281632,-51.27772844
CAMOCIM - CE,CE,-2.900966575,-40.84752774
CAMPANHA - MG,MG,-21.8353567,-45.39844867
CAMPESTRE - MG,MG,-21.71145483,-46.24815851
CAMPESTRE DA SERRA - RS,RS,-28.79651225,-51.095664
CAMPESTRE DE GOIÁS - GO,GO,-16.76230922,-49.69553426
CAMPINA DAS MISSÕES - RS,RS,-27.99169003,-54.84532895
CAMPINA DO SIMÃO - PR,PR,-25.10257847,-51.81478653
CAMPINA GRANDE - PB,PB,-7.22149704,-35.88385911
CAMPINAS - SP,SP,-22.9073425,-47.06015627
CAMPINÁPOLIS - MT,MT,-14.53961743,-52.79749475
CAMPO BELO - MG,MG,-20.89531625,-45.27586136
CAMPO BELO DO SUL - SC,SC,-27.89665739,-50.76199375
CAMPO BOM - RS,RS,-29.6756851,-51.05886992
CAMPO ERÊ - SC,SC,-26.39455114,-53.09015517
CAMPO FLORIDO - MG,MG,-19.76544539,-48.57300347
CAMPO FORMOSO - BA,BA,-10.50566155,-40.31882099
CAMPO GRANDE - MS,MS,-20.45802999,-54.61574357
CAMPO LARGO - PR,PR,-25.4594905,-49.52884145
CAMPO LIMPO PAULISTA - SP,SP,-23.20939643,-46.76381923
CAMPO MAIOR - PI,PI,-4.829113927,-42.1667446
CAMPO MOURÃO - PR,PR,-24.0412232,-52.38111509
CAMPO NOVO - RS,RS,-27.67449261,-53.80281387
CAMPO NOVO DE RONDÔNIA - RO,RO,-10.56841647,-63.62499143
CAMPO NOVO DO PARECIS - MT,MT,-13.65473317,-57.88854648
CAMPO REDONDO - RN,RN,-6.243383053,-36.18250457
CAMPOS ALTOS - MG,MG,-19.69889584,-46.17370992
CAMPOS DE JÚLIO - MT,MT,-13.71992305,-59.26340852
CAMPOS DO JORDÃO - SP,SP,-22.74009191,-45.5892017
CAMPOS DOS GOYTACAZES - RJ,RJ,-21.75189863,-41.33047649
CAMPOS NOVOS - SC,SC,-27.39905298,-51.22367299
CAMUTANGA - PE,PE,-7.40708242,-35.28279064
CANARANA - MT,MT,-13.55922951,-52.27345686
CANAÃ - MG,MG,-20.68737604,-42.61301145
CANDEIAS - BA,BA,-12.67192271,-38.54359627
CANDEIAS - MG,MG,-20.77035004,-45.2768567
CANDELÁRIA - RS,RS,-29.67128542,-52.78966844
CANDIOTA - RS,RS,-31.56100972,-53.67780464
CANDÓI - PR,PR,-25.56793185,-52.0554464
CANELA - RS,RS,-29.35797185,-50.81486735
CANGUÇU - RS,RS,-31.39385952,-52.67628583
CANINDÉ DE SÃO FRANCISCO - SE,SE,-9.654104067,-37.78796372
CANOAS - RS,RS,-29.91869671,-51.18102978
CANOINHAS - SC,SC,-26.17880701,-50.39784871
CANTAGALO - PR,PR,-25.37431739,-52.12668763
CANTAGALO - RJ,RJ,-21.98183986,-42.3659776
CANTÁ - RR,RR,2.607666398,-60.60206285
CANUDOS - BA,BA,-10.94824948,-43.01304229
CANUTAMA - AM,AM,-6.529106076,-64.39423082
CANÁPOLIS - MG,MG,-18.72166372,-49.20405445
CAPANEMA - PR,PR,-25.68297742,-53.8001787
CAPELA - SE,SE,-10.50609963,-37.05483299
CAPINZAL - SC,SC,-27.34427846,-51.61136276
CAPINÓPOLIS - MG,MG,-18.68229373,-49.57448224
CAPITÃO DE CAMPOS - PI,PI,-8.336319592,-43.85097337
CAPITÃO ENÉAS - MG,MG,-16.32091514,-43.7054129
CAPITÃO LEÔNIDAS MARQUES - PR,PR,-25.47946848,-53.61721101
CAPIVARI - SP,SP,-22.99954891,-47.50220615
CAPIVARI DE BAIXO - SC,SC,-28.44904551,-48.96057507
CAPÃO ALTO - SC,SC,-27.94168528,-50.51147929
CAPÃO BONITO - SP,SP,-24.00680097,-48.35143452
CAPÃO BONITO DO SUL - RS,RS,-28.12597529,-51.39515846
CAPÃO DO LEÃO - RS,RS,-31.76683866,-52.48700757
CARACARAÍ - RR,RR,1.803871247,-61.14917687
CARAGUATATUBA - SP,SP,-23.6220065,-45.41081838
CARAMBEÍ - PR,PR,-24.95087298,-50.11309151
CARANDAÍ - MG,MG,-20.95436946,-43.80547537
CARANGOLA - MG,MG,-20.73255051,-42.03222452
CARAPICUÍBA - SP,SP,-23.5352495,-46.84144543
CARATINGA - MG,MG,-19.78963492,-42.14370705
CARAUARI - AM,AM,-4.881665904,-66.89663528
CARAVELAS - BA,BA,-17.73337053,-39.25338222
CARAZINHO - RS,RS,-28.28651059,-52.79189739
CARAÚBAS - RN,RN,-5.791176103,-37.5537022
CAREIRO - AM,AM,-3.82244727,-60.36380984
CAREIRO DA VÁRZEA - AM,AM,-3.197396595,-59.82631406
CARIACICA - ES,ES,-20.2946778,-40.3905591
CARLOS CHAGAS - MG,MG,-17.70333104,-40.7673998
CARMO - RJ,RJ,-21.92931178,-42.60971764
CARMO DA CACHOEIRA - MG,MG,-21.46106043,-45.22462309
CARMO DE MINAS - MG,MG,-22.11812663,-45.13276349
CARMO DO CAJURU - MG,MG,-20.18609383,-44.77147814
CARMO DO RIO VERDE - GO,GO,-15.35771366,-49.70286498
CARMÓPOLIS DE MINAS - MG,MG,-20.53964217,-44.63252771
CARNAUBAIS - RN,RN,-5.339785394,-36.83464236
CARNAUBAL - CE,CE,-4.163988562,-40.93563158
CARNEIRINHO - MG,MG,-19.69732632,-50.69142749
CAROEBE - RR,RR,0.872674507,-59.69481007
CARPINA - PE,PE,-7.846886716,-35.25806061
