DC_NOME,TIPO,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
SAO GABRIEL DA CACHOEIRA(UAUPES),CONVENCIONAL,AM,Operante,-0.125278,-67.061111,79.71,31/03/1920,17/10/2124
SAO GONCALO,CONVENCIONAL,PB,Operante,-6.835833,-38.311667,237.04,07/10/1938,23/05/2126
SAO JOAO DO PIAUI,CONVENCIONAL,PI,Operante,-8.365,-42.250278,237.02,29/09/1975,29/11/2126
SAO LOURENCO,CONVENCIONAL,MG,Operante,-22.126389,-45.043333,930.65,03/02/1922,04/04/2129
SAO LUIS,CONVENCIONAL,MA,Operante,-2.526667,-44.213611,32.58,17/11/1924,09/04/2125
SAO LUIZ GONZAGA,CONVENCIONAL,RS,Operante,-28.417222,-54.9625,245.49,31/03/1912,22/09/2129
SAO PAULO(MIR.de SANTANA),CONVENCIONAL,SP,Operante,-23.496389,-46.62,785.16,30/11/1945,19/05/2129
SAO SIMAO,CONVENCIONAL,SP,Operante,-21.461111,-47.579444,620.02,31/12/1919,27/01/2129
SAO VICENTE,CONVENCIONAL,MT,Operante,-15.823056,-55.418889,786.99,07/11/1985,27/03/2128
SERIDO (CAICO),CONVENCIONAL,RN,Operante,-6.4675,-37.085,171.26,13/03/1995,24/05/2126
SERRINHA,CONVENCIONAL,BA,Operante,-11.668056,-39.001944,362.39,31/01/1904,06/10/2127
SOROCABA,CONVENCIONAL,SP,Operante,-23.48,-47.426667,597.58,31/12/1927,28/07/2129
SURUBIM,CONVENCIONAL,PE,Operante,-7.839628,-35.801056,421.44,30/09/1929,08/09/2126
TAGUATINGA,CONVENCIONAL,TO,Operante,-12.402222,-46.438333,604.88,21/12/1915,20/11/2127
TARAUACA,CONVENCIONAL,AC,Operante,-8.160278,-70.768611,172.27,05/06/1966,18/09/2126
TEFE,CONVENCIONAL,AM,Operante,-3.380278,-64.725278,56,03/01/1929,16/05/2125
TERESINA,CONVENCIONAL,PI,Operante,-5.034722,-42.801389,75.73,20/03/1911,01/02/2126
TERESOPOLIS,CONVENCIONAL,RJ,Operante,-22.417222,-42.972222,874.2,31/12/1912,12/04/2129
TRACUATEUA,CONVENCIONAL,PA,Operante,-1.063611,-46.865278,24.68,07/09/1972,25/11/2124
TUCURUI,CONVENCIONAL,PA,Operante,-3.76,-49.666667,27.83,31/12/1969,29/06/2125
TURIACU,CONVENCIONAL,MA,Operante,-1.661389,-45.371944,34.48,28/07/1976,17/01/2125
UNAI,CONVENCIONAL,MG,Operante,-16.366389,-46.889444,595.59,06/04/1976,31/05/2128
VITORIA,CONVENCIONAL,ES,Operante,-20.315833,-40.316944,36.2,19/11/1923,06/01/2129
VITORIA DA CONQUISTA,CONVENCIONAL,BA,Operante,-14.886389,-40.801389,879.47,31/12/1935,08/03/2128
ZE DOCA,CONVENCIONAL,MA,Operante,-3.269167,-45.651111,46.71,24/08/1970,14/07/2125
